location,withdrawal_mg,discharge_mg,consumption_mg,year,operator,unit,report_publication_year,report_printed_page,report_file,is_named_location,consumptive_fraction,balance_derived_consumption_mg,balance_error_mg,qa_flag,reported_cooling_note,source_id,source_url,source_locator,withdrawal_status,discharge_status,consumption_status,known_source_issue,latitude,longitude,name_0,macro_region,bws_raw,bws_score,bws_label,screening_dataset,screening_baseline_period,screening_caveat,aqueduct_source_id,aqueduct_source_url,aqueduct_source_locator
"Ashburn, VA",76.5,23.3,53.2,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.6954248366013073,53.2,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.0438,-77.4874,United States,North America,0.055798858778338,0.158307520864789,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Berkeley County, SC",988.5,86.8,901.7,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.912190187152251,901.7,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,33.195,-80.0088,United States,North America,0.3601770742051534,2.8487063545280726,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Bristow, VA",359.6,92.0,267.6,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7441601779755284,267.6,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,38.7223,-77.5361,United States,North America,0.6015430799817176,3.5886680608434567,High (40-80%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Council Bluffs, IA",1746.4,400.4,1346.0,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7707283554741181,1346.0,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,41.2619,-95.8608,United States,North America,0.0546350818687251,0.1278995263148407,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"The Dalles, OR",654.3,185.3,469.0,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7167965764939631,468.99999999999994,-5.684341886080804e-14,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,45.5946,-121.1787,United States,North America,0.0059433689005362,0.0,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Douglas County, GA",440.6,73.5,367.1,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.833182024512029,367.1,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,33.729,-84.745,United States,North America,0.2660305124910562,2.4115917257827646,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Dublin, Ireland",0.5,0.4,0.1,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.2,0.0999999999999999,-2.7755575615628914e-17,,air-cooled,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
"Eemshaven, Netherlands",532.2,126.5,405.7,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7623074032318676,405.7000000000001,5.684341886080804e-14,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
"Frankfurt, Germany",1.2,1.0,0.2,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.1666666666666666,0.1999999999999999,-5.551115123125783e-17,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
"Fredericia, Denmark",88.8,17.0,71.8,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.8085585585585585,71.8,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
"Hamina, Finland",4.3,3.9,0.4,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.0930232558139535,0.3999999999999999,-1.1102230246251563e-16,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
"Hanau, Germany",3.4,1.5,1.9,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.5588235294117647,1.9,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
"Henderson, NV",401.7,162.3,239.4,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.5959671396564601,239.4,-2.8421709430404014e-14,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,36.0395,-114.9817,United States,North America,0.0795599727070787,0.6701146863701557,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Inzai, Japan",94.6,21.4,73.2,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7737843551797041,73.19999999999999,-1.4210854715202004e-14,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,,,Non-U.S.,,,,,,,,,,
"Jackson County, AL",191.0,17.4,173.6,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.9089005235602092,173.6,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,34.779,-85.999,United States,North America,0.0620864225029411,0.3123497093174933,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Lancaster, OH",307.1,171.3,135.8,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.4422012373819602,135.8,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.7137,-82.5993,United States,North America,0.002409480631486,0.0,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Leesburg, VA",238.1,47.4,190.7,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.8009239815203696,190.7,0.0,,not specified in location table,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.1157,-77.5636,United States,North America,0.055798858778338,0.158307520864789,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
