location,latitude,longitude,coordinate_basis,macro_region,pfaf_id,name_0,name_1,bws_raw,bws_score,bws_label,bwd_raw,bwd_score,bwd_label,iav_raw,iav_score,iav_label,sev_raw,sev_score,sev_label,screening_dataset,screening_baseline_period,screening_caveat,source_id,source_url,source_locator
"Ashburn, VA",39.0438,-77.4874,reported locality centroid,North America,731801,United States,Virginia,0.055798858778338,0.158307520864789,Low (<10%),0.0124342729712894,0.2486854594257898,Low (<5%),0.5329235601414145,2.131694240565658,Medium - High (0.50-0.75),0.2026883531156273,0.608065059346882,Low (<0.33),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Berkeley County, SC",33.195,-80.0088,reported county centroid,North America,732510,United States,South Carolina,0.3601770742051534,2.8487063545280726,Medium - High (20-40%),0.0845760338331667,1.1728801691658337,Low - Medium (5-25%),0.4503871252170175,1.80154850086807,Low - Medium (0.25-0.50),0.1538533379984596,0.4615600139953789,Low (<0.33),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Bristow, VA",38.7223,-77.5361,reported locality centroid,North America,731901,United States,Virginia,0.6015430799817176,3.5886680608434567,High (40-80%),0.131493145572575,1.4074657278628755,Low - Medium (5-25%),0.5232186358593105,2.092874543437242,Medium - High (0.50-0.75),0.260052354612888,0.7801570638386641,Low (<0.33),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Council Bluffs, IA",41.2619,-95.8608,reported locality centroid,North America,742951,United States,Iowa,0.0546350818687251,0.1278995263148407,Low (<10%),0.0151887271648275,0.3037745432965515,Low (<5%),0.4900060406406245,1.960024162562498,Low - Medium (0.25-0.50),0.3152514286651001,0.9457542859953004,Low (<0.33),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Douglas County, GA",33.729,-84.745,reported county centroid,North America,732609,United States,Georgia,0.2660305124910562,2.4115917257827646,Medium - High (20-40%),0.0572168093511789,1.036084046755895,Low - Medium (5-25%),0.2933850820562264,1.1735403282249055,Low - Medium (0.25-0.50),0.0967487164830143,0.2902461494490431,Low (<0.33),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Henderson, NV",36.0395,-114.9817,reported locality centroid,North America,772330,United States,Nevada,0.0795599727070787,0.6701146863701557,Low (<10%),0.0187946106035957,0.3758922120719152,Low (<5%),0.5207710953104293,2.083084381241717,Medium - High (0.50-0.75),0.3521556023635247,1.0564668070905745,Low - Medium (0.33-0.66),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Jackson County, AL",34.779,-85.999,reported county centroid,North America,742623,United States,Alabama,0.0620864225029411,0.3123497093174933,Low (<10%),0.0142706546845918,0.2854130936918373,Low (<5%),0.4329326522174943,1.731730608869977,Low - Medium (0.25-0.50),0.3382743504355651,1.0148230513066951,Low - Medium (0.33-0.66),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Lancaster, OH",39.7137,-82.5993,reported locality centroid,North America,742691,United States,Ohio,0.002409480631486,0.0,Low (<10%),0.0006126524174305,0.0122530483486104,Low (<5%),0.6541688146442519,2.616675258577008,Medium - High (0.50-0.75),0.3144309966628495,0.9432929899885488,Low (<0.33),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Leesburg, VA",39.1157,-77.5636,reported locality centroid,North America,731801,United States,Virginia,0.055798858778338,0.158307520864789,Low (<10%),0.0124342729712894,0.2486854594257898,Low (<5%),0.5329235601414145,2.131694240565658,Medium - High (0.50-0.75),0.2026883531156273,0.608065059346882,Low (<0.33),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Lenoir, NC",35.914,-81.5389,reported locality centroid,North America,732409,United States,North Carolina,0.3844237576576458,2.942697498431475,Medium - High (20-40%),0.0829455514155225,1.164727757077613,Low - Medium (5-25%),0.3784600279379008,1.5138401117516032,Low - Medium (0.25-0.50),0.0983797383430399,0.2951392150291199,Low (<0.33),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Lockbourne, OH",39.8089,-82.9688,reported locality centroid,North America,742678,United States,Ohio,0.3566046586726747,2.8343255504112053,Medium - High (20-40%),0.084134868725135,1.170674343625675,Low - Medium (5-25%),0.2532366894612131,1.0129467578448523,Low - Medium (0.25-0.50),0.207962347917897,0.6238870437536911,Low (<0.33),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Mayes County, OK",36.303,-95.235,reported county centroid,North America,742441,United States,Oklahoma,0.0067287919757808,0.0,Low (<10%),0.0016304765751884,0.0326095315037688,Low (<5%),0.5391256743287736,2.1565026973150943,Medium - High (0.50-0.75),0.239514684297797,0.7185440528933911,Low (<0.33),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
