location,withdrawal_mg,discharge_mg,consumption_mg,year,operator,unit,report_publication_year,report_printed_page,report_file,is_named_location,consumptive_fraction,balance_derived_consumption_mg,balance_error_mg,qa_flag,reported_cooling_note,source_id,source_url,source_locator,withdrawal_status,discharge_status,consumption_status,known_source_issue,latitude,longitude,name_0,macro_region,bws_raw,bws_score,bws_label,screening_dataset,screening_baseline_period,screening_caveat,aqueduct_source_id,aqueduct_source_url,aqueduct_source_locator
"Ashburn, VA",48.8,3.8,45.0,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.9221311475409836,45.0,0.0,,not specified in location table,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.0438,-77.4874,United States,North America,0.055798858778338,0.158307520864789,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Berkeley County, SC",732.4,70.3,662.1,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.90401419989077,662.1,0.0,,not specified in location table,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,33.195,-80.0088,United States,North America,0.3601770742051534,2.8487063545280726,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Council Bluffs, IA",1236.0,339.9,896.1,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.725,896.1,0.0,,not specified in location table,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,41.2619,-95.8608,United States,North America,0.0546350818687251,0.1278995263148407,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"The Dalles, OR",352.2,78.0,274.2,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.7785349233390119,274.2,0.0,,not specified in location table,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,45.5946,-121.1787,United States,North America,0.0059433689005362,0.0,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Douglas County, GA",378.3,73.1,305.2,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.8067671160454665,305.20000000000005,5.684341886080804e-14,,not specified in location table,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,33.729,-84.745,United States,North America,0.2660305124910562,2.4115917257827646,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Henderson, NV",133.2,51.1,82.1,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.6163663663663663,82.1,0.0,,not specified in location table,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,36.0395,-114.9817,United States,North America,0.0795599727070787,0.6701146863701557,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Jackson County, AL",113.4,19.4,94.0,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.8289241622574955,94.0,0.0,,not specified in location table,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,34.779,-85.999,United States,North America,0.0620864225029411,0.3123497093174933,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Leesburg, VA",155.2,26.3,128.9,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.8305412371134021,128.89999999999998,-2.8421709430404014e-14,,not specified in location table,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,39.1157,-77.5636,United States,North America,0.055798858778338,0.158307520864789,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Lenoir, NC",349.5,29.0,320.5,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.9170243204577968,320.5,0.0,,not specified in location table,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,35.914,-81.5389,United States,North America,0.3844237576576458,2.942697498431475,Medium - High (20-40%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
"Mayes County, OK",896.8,207.1,689.7,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.7690677966101696,689.6999999999999,-1.1368683772161605e-13,,not specified in location table,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported,operator-reported,operator-reported; identified as estimated by operator,,36.303,-95.235,United States,North America,0.0067287919757808,0.0,Low (<10%),WRI Aqueduct 4.0 baseline annual,1979-2019 for water-stress quantity indicators,"locality centroid; prioritization screen, not facility-source attribution",WRI_AQUEDUCT_4,https://doi.org/10.46830/writn.23.00061,Aqueduct 4.0 baseline annual indicators; baseline period 1979-2019
