year,location,source_type,withdrawal_mg,report_publication_year,report_printed_page,operator,unit,source_id,source_url,source_locator,value_status
2022,"Douglas County, GA",potable,72.4,2023,95,Google,million US gallons,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported
2022,"Douglas County, GA",reclaimed wastewater,305.9,2023,95,Google,million US gallons,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported
2022,"Eemshaven, Netherlands",potable,2.0,2023,95,Google,million US gallons,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported
2022,"Eemshaven, Netherlands",non-potable,334.7,2023,95,Google,million US gallons,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported
2022,"St. Ghislain, Belgium",potable,14.2,2023,95,Google,million US gallons,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported
2022,"St. Ghislain, Belgium",non-potable,368.2,2023,95,Google,million US gallons,GOOGLE_ENV_2023,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location",operator-reported
2023,"Douglas County, GA",potable,34.5,2024,79,Google,million US gallons,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported
2023,"Douglas County, GA",reclaimed wastewater,384.3,2024,79,Google,million US gallons,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported
2023,"Eemshaven, Netherlands",potable,2.1,2024,79,Google,million US gallons,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported
2023,"Eemshaven, Netherlands",non-potable,294.3,2024,79,Google,million US gallons,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported
2023,"St. Ghislain, Belgium",potable,22.3,2024,79,Google,million US gallons,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported
2023,"St. Ghislain, Belgium",non-potable,326.6,2024,79,Google,million US gallons,GOOGLE_ENV_2024,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location",operator-reported
2025,"Douglas County, GA",potable,46.3,2026,97,Google,million US gallons,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported
2025,"Douglas County, GA",reclaimed wastewater,394.3,2026,97,Google,million US gallons,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported
2025,"Eemshaven, Netherlands",potable,3.6,2026,97,Google,million US gallons,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported
2025,"Eemshaven, Netherlands",non-potable,528.6,2026,97,Google,million US gallons,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported
2025,"St. Ghislain, Belgium",potable,27.6,2026,97,Google,million US gallons,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported
2025,"St. Ghislain, Belgium",non-potable,686.8,2026,97,Google,million US gallons,GOOGLE_ENV_2026,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location",operator-reported
