location,withdrawal_mg,discharge_mg,consumption_mg,year,operator,unit,report_publication_year,report_printed_page,report_file,is_named_location,consumptive_fraction,balance_derived_consumption_mg,balance_error_mg,qa_flag,reported_cooling_note
"Ashburn, VA",48.8,3.8,45.0,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.9221311475409836,45.0,0.0,,not specified in location table
"Berkeley County, SC",732.4,70.3,662.1,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.90401419989077,662.1,0.0,,not specified in location table
"Council Bluffs, IA",1236.0,339.9,896.1,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.725,896.1,0.0,,not specified in location table
"The Dalles, OR",352.2,78.0,274.2,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.7785349233390119,274.2,0.0,,not specified in location table
"Douglas County, GA",378.3,73.1,305.2,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.8067671160454665,305.20000000000005,5.684341886080803e-14,,not specified in location table
"Henderson, NV",133.2,51.1,82.1,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.6163663663663663,82.1,0.0,,not specified in location table
"Jackson County, AL",113.4,19.4,94.0,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.8289241622574955,94.0,0.0,,not specified in location table
"Leesburg, VA",155.2,26.3,128.9,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.8305412371134021,128.89999999999998,-2.8421709430404014e-14,,not specified in location table
"Lenoir, NC",349.5,29.0,320.5,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.9170243204577968,320.5,0.0,,not specified in location table
"Mayes County, OK",896.8,207.1,689.7,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.7690677966101696,689.6999999999999,-1.1368683772161605e-13,,not specified in location table
"Midlothian, TX",117.3,24.0,93.3,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.7953964194373402,93.3,0.0,,not specified in location table
"Montgomery County, TN",285.3,36.6,248.7,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.871713985278654,248.7,2.8421709430404014e-14,,not specified in location table
"New Albany, OH",69.9,20.3,49.6,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.7095851216022889,49.60000000000001,7.105427357601002e-15,,not specified in location table
"Papillion, NE",68.4,21.8,46.6,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.6812865497076023,46.60000000000001,7.105427357601002e-15,,not specified in location table
"Sterling, VA",74.9,19.5,55.4,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.7396528704939919,55.400000000000006,7.105427357601002e-15,,not specified in location table
"Storey County, NV",2.1,1.9,0.2,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,True,0.0952380952380952,0.2000000000000001,1.6653345369377348e-16,,air-cooled
Other data center locations,664.3,61.4,602.9,2022,Google,million US gallons,2023,95,2023_Google-Environmental-Report.pdf,False,0.90757188017462,602.9,0.0,,not specified in location table
"Ashburn, VA",57.9,3.3,54.6,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.9430051813471504,54.6,0.0,,not specified in location table
"Berkeley County, SC",847.2,83.8,763.4,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.9010859301227572,763.4000000000001,1.1368683772161605e-13,,not specified in location table
"Council Bluffs, IA",1334.9,354.8,980.1,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.7342123005468574,980.1,1.1368683772161605e-13,,not specified in location table
"The Dalles, OR",383.7,81.3,302.4,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.7881157154026583,302.4,0.0,,not specified in location table
"Douglas County, GA",418.8,73.2,345.6,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.8252148997134671,345.6,0.0,,not specified in location table
"Henderson, NV",273.8,115.0,158.8,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.5799853907962016,158.8,0.0,,not specified in location table
"Jackson County, AL",159.8,17.6,142.2,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.8898623279098872,142.20000000000002,2.8421709430404014e-14,,not specified in location table
"Lancaster, OH",15.4,7.7,7.7,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.5,7.7,0.0,,not specified in location table
"Leesburg, VA",246.8,73.6,173.2,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.7017828200972447,173.20000000000002,2.8421709430404014e-14,,not specified in location table
"Lenoir, NC",358.1,21.3,336.8,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.940519407986596,336.8,0.0,,not specified in location table
"Lockbourne, OH",31.8,8.5,23.3,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.7327044025157233,23.3,0.0,,not specified in location table
"Mayes County, OK",1037.1,222.0,815.1,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.7859415678333816,815.0999999999999,-1.1368683772161605e-13,,not specified in location table
"Midlothian, TX",164.3,28.5,135.8,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.8265368228849665,135.8,0.0,,not specified in location table
"Montgomery County, TN",342.0,53.4,288.6,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.8438596491228071,288.6,0.0,,not specified in location table
"New Albany, OH",152.0,24.9,127.1,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.8361842105263158,127.1,0.0,,not specified in location table
"Papillion, NE",164.2,29.5,134.7,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.820341047503045,134.7,0.0,,not specified in location table
"Sterling, VA",81.0,25.4,55.6,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.6864197530864198,55.6,0.0,,not specified in location table
"Storey County, NV",1.9,1.7,0.2,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,True,0.1052631578947368,0.1999999999999999,-5.551115123125783e-17,,air-cooled
Other data center locations,698.5,57.9,640.6,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,False,0.917108088761632,640.6,0.0,,not specified in location table
"Ashburn, VA",59.5,3.5,56.0,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.9411764705882352,56.0,0.0,,not specified in location table
"Berkeley County, SC",853.8,77.3,776.5,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.9094635746076364,776.5,0.0,,not specified in location table
"Bristow, VA",105.7,21.3,84.4,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.7984862819299906,84.4,0.0,,not specified in location table
"Council Bluffs, IA",1410.3,400.1,1010.2,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.716301496135574,1010.2,-1.1368683772161605e-13,,not specified in location table
"The Dalles, OR",461.1,99.7,361.4,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.7837779223595749,361.4,5.684341886080803e-14,,not specified in location table
"Douglas County, GA",444.1,77.2,366.9,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.8261652780905201,366.9,5.684341886080803e-14,,not specified in location table
