"rowid","plant","description","reporting_date","reporting_month","reporting_year","azpdes_outfall_003","npdes_outfall_005","reuse","ponds","gric","outfall_001_gwrp","outfall_001_sewrp","effluent_to_baseline","me01_southern_ave","me02_baseline","me03_8th_street","total_beneficial_reuse","total_system_flow"
"1","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-01T23:12:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-02T22:24:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-03T21:36:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-04T20:48:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-05T20:00:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-06T19:12:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-07T18:24:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-08T17:36:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-09T16:48:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-10T16:00:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-11T15:12:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-12T14:24:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-13T13:36:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-14T12:48:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-15T12:00:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-16T11:12:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-17T10:24:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-18T09:36:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-19T08:48:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-20T08:00:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-21T07:12:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-22T06:24:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-23T05:36:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-24T04:48:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-25T04:00:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-26T03:12:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-27T02:24:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-28T01:36:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-29T00:48:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-06-30T00:00:00.000","Jun","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-01T23:23:59.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-01T23:36:46.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-01T23:59:59.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-02T22:47:59.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-02T23:13:32.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-02T23:59:59.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-03T22:11:59.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-03T22:50:19.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-03T23:59:59.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-04T21:35:59.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-04T22:27:05.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-04T23:59:59.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-05T20:59:59.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","CAPN","Plant #1 Flow (MGD)400317 (F_CV)","2022-07-05T22:03:52.000","Jul","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
