location,year,withdrawal_mg,discharge_mg,consumption_mg,consumptive_fraction,latitude,longitude,bws_score,bws_label,risk_class,high_stress_screen,reported_cooling_note,qa_flag,report_file,report_printed_page,source_ids,source_locators,scientific_boundary
"Ashburn, VA",2025,76.5,23.3,53.2,0.6954248366013073,39.0438,-77.4874,0.158307520864789,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Berkeley County, SC",2025,988.5,86.8,901.7,0.912190187152251,33.195,-80.0088,2.8487063545280726,Medium - High (20-40%),Medium-high,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Bristow, VA",2025,359.6,92.0,267.6,0.7441601779755284,38.7223,-77.5361,3.5886680608434567,High (40-80%),High,True,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Council Bluffs, IA",2025,1746.4,400.4,1346.0,0.7707283554741181,41.2619,-95.8608,0.1278995263148407,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Douglas County, GA",2025,440.6,73.5,367.1,0.833182024512029,33.729,-84.745,2.4115917257827646,Medium - High (20-40%),Medium-high,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Henderson, NV",2025,401.7,162.3,239.4,0.5959671396564601,36.0395,-114.9817,0.6701146863701557,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Jackson County, AL",2025,191.0,17.4,173.6,0.9089005235602092,34.779,-85.999,0.3123497093174933,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Lancaster, OH",2025,307.1,171.3,135.8,0.4422012373819602,39.7137,-82.5993,0.0,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Leesburg, VA",2025,238.1,47.4,190.7,0.8009239815203696,39.1157,-77.5636,0.158307520864789,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
"Lenoir, NC",2025,378.3,34.0,344.3,0.9101242400211472,35.914,-81.5389,2.942697498431475,Medium - High (20-40%),Medium-high,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116","Operator-reported withdrawal, discharge, and estimated consumption."
