scope,year,source_class,withdrawal_mg,total_mg,share,source_ids,source_locators,scientific_boundary
Douglas County,2022,Explicitly potable,72.4,378.2999999999999,0.1913825006608512,GOOGLE_ENV_2023; GOOGLE_ENV_2024; GOOGLE_ENV_2026,"Google (2023), printed p. 95, Water use by data center location; Google (2024), printed p. 79, Water use by data center location; Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Explicit source splits and reporting-rule classifications are distinct evidence boundaries.
Douglas County,2022,Explicitly reclaimed,305.9,378.2999999999999,0.8086174993391488,GOOGLE_ENV_2023; GOOGLE_ENV_2024; GOOGLE_ENV_2026,"Google (2023), printed p. 95, Water use by data center location; Google (2024), printed p. 79, Water use by data center location; Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Explicit source splits and reporting-rule classifications are distinct evidence boundaries.
Douglas County,2023,Explicitly potable,34.5,418.8,0.082378223495702,GOOGLE_ENV_2023; GOOGLE_ENV_2024; GOOGLE_ENV_2026,"Google (2023), printed p. 95, Water use by data center location; Google (2024), printed p. 79, Water use by data center location; Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Explicit source splits and reporting-rule classifications are distinct evidence boundaries.
Douglas County,2023,Explicitly reclaimed,384.3,418.8,0.917621776504298,GOOGLE_ENV_2023; GOOGLE_ENV_2024; GOOGLE_ENV_2026,"Google (2023), printed p. 95, Water use by data center location; Google (2024), printed p. 79, Water use by data center location; Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Explicit source splits and reporting-rule classifications are distinct evidence boundaries.
Douglas County,2025,Explicitly potable,46.3,440.6,0.1050839763958238,GOOGLE_ENV_2023; GOOGLE_ENV_2024; GOOGLE_ENV_2026,"Google (2023), printed p. 95, Water use by data center location; Google (2024), printed p. 79, Water use by data center location; Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Explicit source splits and reporting-rule classifications are distinct evidence boundaries.
Douglas County,2025,Explicitly reclaimed,394.3,440.6,0.8949160236041761,GOOGLE_ENV_2023; GOOGLE_ENV_2024; GOOGLE_ENV_2026,"Google (2023), printed p. 95, Water use by data center location; Google (2024), printed p. 79, Water use by data center location; Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Explicit source splits and reporting-rule classifications are distinct evidence boundaries.
U.S. named locations,2022,Explicitly reclaimed,305.9,5013.7,0.0610128248598839,GOOGLE_ENV_2023; GOOGLE_ENV_2024; GOOGLE_ENV_2026,"Google (2023), printed p. 95, Water use by data center location; Google (2024), printed p. 79, Water use by data center location; Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Explicit source splits and reporting-rule classifications are distinct evidence boundaries.
U.S. named locations,2022,Potable under reporting rule,4707.8,5013.7,0.9389871751401162,GOOGLE_ENV_2023; GOOGLE_ENV_2024; GOOGLE_ENV_2026,"Google (2023), printed p. 95, Water use by data center location; Google (2024), printed p. 79, Water use by data center location; Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Explicit source splits and reporting-rule classifications are distinct evidence boundaries.
U.S. named locations,2023,Explicitly reclaimed,384.3,6070.7,0.0633040670762844,GOOGLE_ENV_2023; GOOGLE_ENV_2024; GOOGLE_ENV_2026,"Google (2023), printed p. 95, Water use by data center location; Google (2024), printed p. 79, Water use by data center location; Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Explicit source splits and reporting-rule classifications are distinct evidence boundaries.
U.S. named locations,2023,Potable under reporting rule,5686.4,6070.7,0.9366959329237156,GOOGLE_ENV_2023; GOOGLE_ENV_2024; GOOGLE_ENV_2026,"Google (2023), printed p. 95, Water use by data center location; Google (2024), printed p. 79, Water use by data center location; Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Explicit source splits and reporting-rule classifications are distinct evidence boundaries.
U.S. named locations,2025,Explicitly reclaimed,394.3,10807.6,0.0364835856249306,GOOGLE_ENV_2023; GOOGLE_ENV_2024; GOOGLE_ENV_2026,"Google (2023), printed p. 95, Water use by data center location; Google (2024), printed p. 79, Water use by data center location; Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Explicit source splits and reporting-rule classifications are distinct evidence boundaries.
U.S. named locations,2025,Potable under reporting rule,10413.3,10807.6,0.9635164143750696,GOOGLE_ENV_2023; GOOGLE_ENV_2024; GOOGLE_ENV_2026,"Google (2023), printed p. 95, Water use by data center location; Google (2024), printed p. 79, Water use by data center location; Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Explicit source splits and reporting-rule classifications are distinct evidence boundaries.
