location,year,electricity_mwh,withdrawal_ml,operator,withdrawal_intensity_l_per_total_kwh,electricity_boundary,intensity_label,report_file,report_printed_page_electricity,report_printed_page_water,source_ids,source_locators,scientific_boundary
Altoona (IA),2019,853000,145.0,Meta,0.1699882766705744,total facility electricity; not IT energy,withdrawal intensity; not WUE,2024_Meta-Environmental-Data-Index.pdf,29,32,META_EDI_2024,"Meta (2024), printed p. 29 electricity; printed p. 32 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Altoona (IA),2020,980000,151.0,Meta,0.1540816326530612,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Altoona (IA),2021,950705,140.0,Meta,0.1472591392703309,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Altoona (IA),2022,1043606,199.0,Meta,0.1906849903124359,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Altoona (IA),2023,1243306,173.0,Meta,0.1391451501078576,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Altoona (IA),2024,1585392,242.0,Meta,0.152643636400335,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
DeKalb (IL),2021,4724,0.0,Meta,0.0,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
DeKalb (IL),2022,16934,30.0,Meta,1.7715837959135468,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
DeKalb (IL),2023,138965,55.0,Meta,0.3957831108552513,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
DeKalb (IL),2024,372339,105.0,Meta,0.2820010796612764,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Eagle Mountain (UT),2021,229946,58.0,Meta,0.2522331329964426,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Eagle Mountain (UT),2022,504049,89.0,Meta,0.1765701350463943,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Eagle Mountain (UT),2023,787740,87.0,Meta,0.1104425317998324,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Eagle Mountain (UT),2024,1115619,133.0,Meta,0.1192163274379514,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Forest City (NC),2019,614000,85.0,Meta,0.1384364820846905,total facility electricity; not IT energy,withdrawal intensity; not WUE,2024_Meta-Environmental-Data-Index.pdf,29,32,META_EDI_2024,"Meta (2024), printed p. 29 electricity; printed p. 32 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Forest City (NC),2020,595000,68.0,Meta,0.1142857142857142,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Forest City (NC),2021,580842,64.0,Meta,0.1101848695514442,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Forest City (NC),2022,492786,63.0,Meta,0.1278445410380976,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Forest City (NC),2023,507068,55.0,Meta,0.1084667145234958,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Forest City (NC),2024,535555,16.0,Meta,0.0298755496634332,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Fort Worth (TX),2019,695000,322.0,Meta,0.4633093525179856,total facility electricity; not IT energy,withdrawal intensity; not WUE,2024_Meta-Environmental-Data-Index.pdf,29,32,META_EDI_2024,"Meta (2024), printed p. 29 electricity; printed p. 32 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Fort Worth (TX),2020,941000,300.0,Meta,0.3188097768331562,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Fort Worth (TX),2021,1014447,254.0,Meta,0.2503827208321381,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Fort Worth (TX),2022,959419,346.0,Meta,0.36063492592913,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
