category,value_mgd,record,series_type,source_ids,source_locators,scientific_boundary
Municipal total pathways,32.25449076748951,2018-01-02,distribution,MESA_OPEN_DATA_2026,"City of Mesa Water Resources (2026), dataset 5zhe-5nig; retrieved 2026-08-22",Scale comparison across reported facility values and municipal pathway observations; denominators are not pooled.
Municipal beneficial reuse,23.515787464947135,2018-01-02,distribution,MESA_OPEN_DATA_2026,"City of Mesa Water Resources (2026), dataset 5zhe-5nig; retrieved 2026-08-22",Scale comparison across reported facility values and municipal pathway observations; denominators are not pooled.
Municipal total pathways,31.144856403825756,2018-01-03,distribution,MESA_OPEN_DATA_2026,"City of Mesa Water Resources (2026), dataset 5zhe-5nig; retrieved 2026-08-22",Scale comparison across reported facility values and municipal pathway observations; denominators are not pooled.
Municipal beneficial reuse,22.831704110461548,2018-01-03,distribution,MESA_OPEN_DATA_2026,"City of Mesa Water Resources (2026), dataset 5zhe-5nig; retrieved 2026-08-22",Scale comparison across reported facility values and municipal pathway observations; denominators are not pooled.
Municipal total pathways,31.87835226532936,2018-01-04,distribution,MESA_OPEN_DATA_2026,"City of Mesa Water Resources (2026), dataset 5zhe-5nig; retrieved 2026-08-22",Scale comparison across reported facility values and municipal pathway observations; denominators are not pooled.
Municipal beneficial reuse,23.295108974525313,2018-01-04,distribution,MESA_OPEN_DATA_2026,"City of Mesa Water Resources (2026), dataset 5zhe-5nig; retrieved 2026-08-22",Scale comparison across reported facility values and municipal pathway observations; denominators are not pooled.
Municipal total pathways,31.706779199441343,2018-01-05,distribution,MESA_OPEN_DATA_2026,"City of Mesa Water Resources (2026), dataset 5zhe-5nig; retrieved 2026-08-22",Scale comparison across reported facility values and municipal pathway observations; denominators are not pooled.
Municipal beneficial reuse,23.09312844435381,2018-01-05,distribution,MESA_OPEN_DATA_2026,"City of Mesa Water Resources (2026), dataset 5zhe-5nig; retrieved 2026-08-22",Scale comparison across reported facility values and municipal pathway observations; denominators are not pooled.
Municipal total pathways,31.316457403732763,2018-01-06,distribution,MESA_OPEN_DATA_2026,"City of Mesa Water Resources (2026), dataset 5zhe-5nig; retrieved 2026-08-22",Scale comparison across reported facility values and municipal pathway observations; denominators are not pooled.
Municipal beneficial reuse,22.881058749589748,2018-01-06,distribution,MESA_OPEN_DATA_2026,"City of Mesa Water Resources (2026), dataset 5zhe-5nig; retrieved 2026-08-22",Scale comparison across reported facility values and municipal pathway observations; denominators are not pooled.
Municipal total pathways,31.592114800296827,2018-01-07,distribution,MESA_OPEN_DATA_2026,"City of Mesa Water Resources (2026), dataset 5zhe-5nig; retrieved 2026-08-22",Scale comparison across reported facility values and municipal pathway observations; denominators are not pooled.
Municipal beneficial reuse,23.38055855640034,2018-01-07,distribution,MESA_OPEN_DATA_2026,"City of Mesa Water Resources (2026), dataset 5zhe-5nig; retrieved 2026-08-22",Scale comparison across reported facility values and municipal pathway observations; denominators are not pooled.
