location_reported,data_year,estimated_consumption,discharge,withdrawal,balance_error_mgd,estimated_consumption_fraction,discharge_fraction,highlight,consumption_value_status,source_ids,source_locators,scientific_boundary
"Council Bluffs, IA",2025,3.6876712376076366,1.0969863026363142,4.784657540243951,2.220446049250313e-16,0.7707283554968108,0.229271644503189,True,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Mayes County, OK",2025,2.9627397299401297,0.8638356173009694,3.826575347241099,0.0,0.7742535978224546,0.2257464021775453,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"New Albany, OH",2025,2.289589044312641,0.472328767751525,2.7619178120641656,-3.3306690738754696e-16,0.828985219730879,0.1710147802691211,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Berkeley County, SC",2025,2.4704109620941668,0.2378082190780498,2.70821918206496,8.92743573510657e-10,0.9121901869886804,0.0878098126816774,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"St. Ghislain, Belgium",2025,1.2350684944454473,0.7221917818839894,1.9572602763294369,2.220446049250313e-16,0.6310190368557638,0.3689809631442361,True,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Papillion, NE",2025,1.5019178105783035,0.3550684938611592,1.8569863035467191,-8.927436012662325e-10,0.808793154645105,0.1912068458356436,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"The Dalles, OR",2025,1.2849315085262774,0.507671233304952,1.7926027418312296,2.220446049250313e-16,0.7167965765876595,0.2832034234123404,True,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Eemshaven, Netherlands",2025,1.1115068511637174,0.3465753433073351,1.4580821935783088,-8.927436567773838e-10,0.7623074035599777,0.2376925970522948,True,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Montgomery County, TN",2025,1.163561645514264,0.2049315069976115,1.3684931525118755,-8.326672684688674e-17,0.8502502503418021,0.1497497496581979,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Lockbourne, OH",2025,0.9849315080024542,0.2775342469563967,1.262465754958851,0.0,0.7801649305208737,0.2198350694791263,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
