dataset_file,stage,rows,columns,sha256,purpose
data/input/aws_region_pue_wue_2022_2025.csv,input,4,11,5025681ab02cbcb9ff3aa8c280fc0bfdfeac4acecc06ab946412b26cc5705347,Canonical input
data/input/google_location_water_2022_2025.csv,input,101,16,49b18443ab2d9492a4f3a2438cc6c775000b1a3a0dd43619009fb12d68f89fa2,Canonical input
data/input/google_locations_aqueduct26.csv,input,26,23,fce7d42974aef09ecfd81bcf256650378997ad8ccfe2c6140b7d8fc9f6ee522d,Canonical input
data/input/google_reported_source_mix.csv,input,18,8,122adb1f779a2d72720fed115ac72a282cf089650ef95617070cd6af66cb3606,Canonical input
data/input/mesa_reclaimed_water_management.csv,input,53954,19,346a7e6d4f7da3fd50a6b243d44149cf5113eb6c46fc7f7bd6cad73a4f16d208,Canonical input
data/input/meta_site_water_electricity_2019_2024.csv,input,70,11,ac84d0dd9bd1d18b7d7bcbd4f67a605d343e9f9f732eccaf8cf59581c8d5d49c,Canonical input
data/input/monthly_cooling_water_intensity.csv,input,72,12,8bdf99e09d06d0fe30115422eae1665a806a977634f011ac9b8cebcc9ca119c5,Canonical input
data/input/source_resolved_case_evidence.csv,input,4,14,754b297dfbbb2a67474fdbbd85479d2ead45714e52d65f96cd07b70a8fefae0f,Canonical input
data/input/usgs/USGS_02336000_Atlanta_GA.csv,input,10958,7,66a5c5b769a971ffd2b19c4de5a2fa5bb8864ac83ce8c244ef09cb120982ba45,Canonical input
data/input/usgs/USGS_06610000_Council_Bluffs_IA.csv,input,10958,7,deec2b12e6e7e3e23e8de9539b4e03c82ffe7133aa62e7769b2ca731a0f07a6f,Canonical input
data/input/usgs/USGS_12117500_Seattle_WA.csv,input,10958,7,cb1e96b9948e1c51db3d4e7dfb265ee5a7b858a2da7610bf5d707c3452c79e27,Canonical input
data/analysis_ready/aws_us_matched_regions.csv,analysis_ready,4,18,b431365a7e052416c1b6e824c5500d47eda237c76e5a1e2423a571df1fc21898,Analysis-ready table
data/analysis_ready/cooling_model_monthly.csv,analysis_ready,72,15,02b1816ef8585ff57f31bdd59aa004600e371e557916ca0af75c7ff55c07ca65,Analysis-ready table
data/analysis_ready/google_global_fy2025.csv,analysis_ready,40,36,d80c30b3a291bd6e1f3e512d712a61968d40545ab4e1f2607a4566c053cfe151,Analysis-ready table
data/analysis_ready/google_location_aqueduct_screen.csv,analysis_ready,26,26,3ab249d584a9c1571b94ea683639bccdfc658a1f8e5b364b5952c807fa584595,Analysis-ready table
data/analysis_ready/google_named_location_year.csv,analysis_ready,97,36,1361fdde3a21d6c1cf0c6515bfb93c2827afe7b7958efce34fa0d32b49d09d17,Analysis-ready table
data/analysis_ready/google_reported_source_mix.csv,analysis_ready,18,12,d03c88c78097f0035a9e72c99687278593534525af3b182ecc0363316e439148,Analysis-ready table
data/analysis_ready/google_us_location_year.csv,analysis_ready,83,36,b373b6dfe8d17e9f4efeeb7a67ab516017211f3367ec3a0d638aeefdb93459c1,Analysis-ready table
data/analysis_ready/mesa_daily_pathways_qc.csv,analysis_ready,2676,22,513056d19790c5cb7efff9519044864ab101e7459203e8e6d988d3f0e88474d0,Analysis-ready table
data/analysis_ready/meta_us_facility_year.csv,analysis_ready,70,17,c8ee1ecc7d439c4ee1316c88083343f248b756205658db94c484ce6f7eac8245,Analysis-ready table
data/analysis_ready/source_component_daily_pressure.csv,analysis_ready,65748,27,375ab0455acc4915e4a0378e1b6993c8ba2c317dd6a9155daae17c91fa0d72f1,Analysis-ready table
data/analysis_ready/source_component_monthly_pressure.csv,analysis_ready,72,18,267583624ec26d6a981390f0128cd73a208fdc5c54ddf2aa5cb91c059c45b7c8,Analysis-ready table
data/analysis_ready/source_resolved_case_evidence.csv,analysis_ready,4,14,754b297dfbbb2a67474fdbbd85479d2ead45714e52d65f96cd07b70a8fefae0f,Analysis-ready table
data/analysis_ready/usgs_daily_flow_three_components.csv,analysis_ready,32874,12,e23b8273d9d76321ed38ccb47989ac35ac807fb288e5a51b5266aa0a9414ca4a,Analysis-ready table
results/council_bluffs_source_family_summary.csv,result,1,11,999c9a2fdf974900ef6e3b1d30b5ca8441d1535a16dc52ae6b600208e0b89367,Reproduced result or manuscript table
results/google_global_fy2025_accounting_summary.csv,result,3,8,51a8bbef31a1038b242b4953ee2ca61814098756fe33cf1ff5e8a88143eb51c2,Reproduced result or manuscript table
results/google_us_annual_summary.csv,result,4,9,875f0606d7338915620e0a96dbd9dc5222f5138470ee23da49cca42c22f448de,Reproduced result or manuscript table
