dataset_file,column,description,unit_or_format,provenance_link
data/input/aws_region_pue_wue_2022_2025.csv,location,Operator-reported location or analytical location identifier.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/aws_region_pue_wue_2022_2025.csv,pue_2022,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/aws_region_pue_wue_2022_2025.csv,pue_2023,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/aws_region_pue_wue_2022_2025.csv,pue_2024,Operator-reported FY2024 power usage effectiveness.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/aws_region_pue_wue_2022_2025.csv,pue_2025,Operator-reported FY2025 power usage effectiveness.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/aws_region_pue_wue_2022_2025.csv,wue_2024,Operator-reported FY2024 water usage effectiveness in liters withdrawn per IT kWh.,L/IT kWh,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/aws_region_pue_wue_2022_2025.csv,wue_2025,Operator-reported FY2025 water usage effectiveness in liters withdrawn per IT kWh.,L/IT kWh,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/aws_region_pue_wue_2022_2025.csv,operator,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/aws_region_pue_wue_2022_2025.csv,source_file,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/aws_region_pue_wue_2022_2025.csv,retrieved,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/aws_region_pue_wue_2022_2025.csv,wue_unit,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,location,Operator-reported location or analytical location identifier.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
