location,year,electricity_mwh,withdrawal_ml,operator,withdrawal_intensity_l_per_total_kwh,electricity_boundary,intensity_label,report_file,report_printed_page_electricity,report_printed_page_water,source_id,source_url,source_locator,electricity_status,withdrawal_status,intensity_status,previous_year,previous_electricity_mwh,previous_withdrawal_ml,electricity_change_fraction,withdrawal_change_fraction,electricity_log2_ratio,withdrawal_log2_ratio,derived_status
Altoona (IA),2020,980000,151.0,Meta,0.1540816326530612,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2019.0,853000.0,145.0,0.14888628370457213,0.04137931034482767,0.2002360076842804,0.05849564931014455,within-site consecutive annual change
Altoona (IA),2021,950705,140.0,Meta,0.1472591392703309,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2020.0,980000.0,151.0,-0.029892857142857165,-0.07284768211920534,-0.043784001265521066,-0.10912172238011252,within-site consecutive annual change
Altoona (IA),2022,1043606,199.0,Meta,0.1906849903124359,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2021.0,950705.0,140.0,0.09771800926680729,0.4214285714285715,0.13450749069798643,0.5073416035986824,within-site consecutive annual change
Altoona (IA),2023,1243306,173.0,Meta,0.1391451501078576,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2022.0,1043606.0,199.0,0.19135574153464052,-0.1306532663316583,0.25260426955377235,-0.20199639290692423,within-site consecutive annual change
Altoona (IA),2024,1585392,242.0,Meta,0.152643636400335,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2023.0,1243306.0,173.0,0.2751422417329281,0.39884393063583823,0.35065818825796846,0.48423500963787,within-site consecutive annual change
DeKalb (IL),2023,138965,55.0,Meta,0.3957831108552513,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2022.0,16934.0,30.0,7.2062714066375335,0.8333333333333333,3.036726869382162,0.874469117916141,within-site consecutive annual change
DeKalb (IL),2024,372339,105.0,Meta,0.2820010796612764,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2023.0,138965.0,55.0,1.6793725038678806,0.9090909090909092,1.4218951680127234,0.932885804141463,within-site consecutive annual change
Eagle Mountain (UT),2022,504049,89.0,Meta,0.1765701350463943,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2021.0,229946.0,58.0,1.1920320423055846,0.5344827586206897,1.1322688872297797,0.6177524358388257,within-site consecutive annual change
Eagle Mountain (UT),2023,787740,87.0,Meta,0.1104425317998324,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2022.0,504049.0,89.0,0.5628242492297375,-0.022471910112359605,0.6441555460783454,-0.03278993511766953,within-site consecutive annual change
Eagle Mountain (UT),2024,1115619,133.0,Meta,0.1192163274379514,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2023.0,787740.0,87.0,0.41622743544824425,0.5287356321839081,0.5020529699725315,0.6123389396524613,within-site consecutive annual change
Forest City (NC),2020,595000,68.0,Meta,0.1142857142857142,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2019.0,614000.0,85.0,-0.030944625407166138,-0.19999999999999996,-0.045348987174873547,-0.3219280948873623,within-site consecutive annual change
